Start Time,period,BigTrades,SmallTrades,Period Closing,%Price Change
11-15-2023 15:38:18,15 m,0.00,212711.68,35810.43,0.00%
11-15-2023 15:38:38,30 m,0.00,315852.25,35811.76,0.01%
11-15-2023 15:38:58,1 h,0.00,431178.00,35813.09,0.01%
11-15-2023 15:39:18,4 h,0.00,544713.14,35813.66,0.01%
11-15-2023 15:39:38,8 h,0.00,657538.95,35814.56,0.01%
11-15-2023 15:39:58,12 h,0.00,783625.87,35815.59,0.01%
11-15-2023 15:40:18,24 h,231448.82,1.08 M,35817.58,0.01%
11-15-2023 15:40:38,2 d,231448.82,1.22 M,35817.56,-0.01%
11-15-2023 15:40:58,3 d,231448.82,1.47 M,35816.98,-0.02%
11-15-2023 15:41:18,5 d,231448.82,1.60 M,35816.65,-0.01%
11-15-2023 15:41:38,7 d,231448.82,1.64 M,35816.52,-0.00%
11-15-2023 15:41:58,10 d,231448.82,1.76 M,35816.38,-0.00%
11-15-2023 15:42:18,15 d,231448.82,1.93 M,35816.52,0.01%
11-15-2023 15:42:38,30 d,231448.82,2.01 M,35816.73,0.01%
